企业名称,来源文件,省份,备注
万载万狮矿业有限公司,国家采矿登记系统,江西,
上栗县鸿志石材工艺有限公司,国家采矿登记系统,江西,
东方建都国际酒店管理有限公司,国家采矿登记系统,海南,
中国中煤能源集团,手动搜集(大型企业),,
中国五矿集团,手动搜集(大型企业),,
中国平煤神马集团,手动搜集(各省政府公示); 手动搜集(大型企业),河南,出现在2个文件中
中国建材集团,手动搜集(大型企业),,
中国建设银行股份有限公司,爬虫抓取(山西+陕西+安监局),山西,
中国铝业股份有限公司,爬虫抓取(山西+陕西+安监局),山西,
中国铝业集团,手动搜集(大型企业),,
中条山有色金属集团,手动搜集(大型企业),,
中条山有色金属集团有限公司,手动搜集(各省政府公示),山西,
中煤新集阜阳矿业有限公司,手动搜集(各省政府公示),安徽,
中盐舞阳盐化有限公司黄庄盐矿,手动搜集(各省政府公示),河南,
丰都县绿圣鑫石材有限公司,国家采矿登记系统,重庆,
丰都县联盛石材工艺有限公司,国家采矿登记系统,重庆,
临沂石宝矿业有限公司,国家采矿登记系统,山东,
临沭县兴大矿业有限公司,国家采矿登记系统,山东,
丽江孜堆砂石料有限公司,国家采矿登记系统,云南,
乾县新阳鑫诺建材有限公司,国家采矿登记系统,陕西,
云南三明鑫疆磷业股份有限公司安宁市权甫磷矿,手动搜集(各省政府公示),云南,
云南交投丽江资源开发有限公司,国家采矿登记系统,云南,
云南思茅山水铜业有限公司银子山金矿,手动搜集(各省政府公示),云南,
云南铜业,手动搜集(大型企业),,
五台县三吉铁矿有限责任公司,手动搜集(各省政府公示),山西,
仁寿县百汇金矿业有限公司,国家采矿登记系统,四川,
仁寿晟盛矿石有限责任公司,国家采矿登记系统,四川,
伊泰集团,手动搜集(大型企业),,
伽师县源江建材有限公司,国家采矿登记系统,新疆,
伽师县金裕商贸有限责任公司,国家采矿登记系统,新疆,
保亭源泽水业开发有限公司,国家采矿登记系统,海南,
克州源顺进建材有限公司,国家采矿登记系统,新疆,
克州顺创新型建材有限公司,国家采矿登记系统,新疆,
克拉玛依市城投碎石开采有限责任公司,国家采矿登记系统,新疆,
六安市金安区城乡建设投资有限公司,国家采矿登记系统,安徽,
六枝特区兴旺砂石厂,国家采矿登记系统,贵州,
六枝特区合顺砂石厂,国家采矿登记系统,贵州,
六枝特区野狼冲砂石厂,国家采矿登记系统,贵州,
六枝特区马甲岩砂石厂,国家采矿登记系统,贵州,
六盘水兴黔工贸有限公司,国家采矿登记系统,贵州,
六盘水水城区顺宏安安平煤业,手动搜集(各省政府公示),贵州,
六盘水通合矿业有限公司,国家采矿登记系统,贵州,
兴文县山磊石材有限责任公司,国家采矿登记系统,四川,
兴隆县峪鑫矿业有限公司,国家采矿登记系统,河北,
冀中能源集团,手动搜集(大型企业),,
冀中能源集团有限责任公司,手动搜集(各省政府公示),河北,
内蒙古山金比利亚矿业有限责任公司,国家采矿登记系统,内蒙古,
凤县尖端山矿业有限责任公司,爬虫抓取(山西+陕西+安监局),陕西,
凤县尖端山矿业有限责任公司尖端山铅锌矿,爬虫抓取(山西+陕西+安监局),陕西,
凯里市丰华贸易有限公司,国家采矿登记系统,贵州,
办理山西介休义棠青云煤业有限公司,爬虫抓取(山西+陕西+安监局),山西,
勐腊县辉洪商贸有限责任公司,国家采矿登记系统,云南,
包头市鑫源鄂博矿业有限公司,国家采矿登记系统,内蒙古,
化州市那务镇水明石场,手动搜集(各省政府公示),广东,
华沃(枣庄)水泥马头北山水泥用灰岩矿,手动搜集(各省政府公示),山东,
华阳新材料科技集团(原阳煤),手动搜集(大型企业),,
南充市嘉陵区羊口乡盛发机砖厂,国家采矿登记系统,四川,
南方水泥有限公司,手动搜集(大型企业),,
博乐市同人矿业有限责任公司,国家采矿登记系统,新疆,
原平市高铝土实业有限公司,爬虫抓取(山西+陕西+安监局),山西,
和田泰坤矿业投资有限公司,国家采矿登记系统,新疆,
商洛喜达实业有限公司,国家采矿登记系统,陕西,
喀什金泓楷煜建材有限公司,国家采矿登记系统,新疆,
四川久大蓬莱盐化有限公司,国家采矿登记系统,四川,
四川商舟实业有限公司老汞山磷矿,手动搜集(各省政府公示),四川,
四川国大水泥乌龙洞水泥用石灰石矿,手动搜集(各省政府公示),四川,
四川川煤华荣能源小宝鼎煤矿,手动搜集(各省政府公示),四川,
四川川煤华荣能源有限责任公司太平煤矿,手动搜集(各省政府公示),四川,
四川森茂盛钢结构制造有限公司,国家采矿登记系统,四川,
四川省兴文县鼎顺石业有限责任公司,国家采矿登记系统,四川,
四川省洪雅青衣江元明粉有限公司,国家采矿登记系统,四川,
四川锦城浩源商业管理有限公司,国家采矿登记系统,四川,
国家电投瓦厂坪铝土矿,手动搜集(各省政府公示),贵州,
国家能源投资集团,手动搜集(大型企业),,
夏河祁连山安多水泥有限公司且隆沟石灰岩矿,手动搜集(各省政府公示),甘肃,
大同煤矿集团,爬虫抓取(山西+陕西+安监局),山西,
大同煤矿集团同生千井煤业有限公司,手动搜集(各省政府公示),山西,
大同煤矿集团挖金湾煤业有限责任公司,手动搜集(各省政府公示); 爬虫抓取(山西+陕西+安监局),山西,出现在2个文件中
大同煤矿集团永定庄煤业有限责任公司,手动搜集(各省政府公示),山西,
大同煤矿集团王村煤业有限责任公司,手动搜集(各省政府公示),山西,
天水三义混凝土有限公司,国家采矿登记系统,甘肃,
奇台县九方开源石碴有限公司,国家采矿登记系统,新疆,
威远县昊霖矿业有限公司,国家采矿登记系统,四川,
子长县扇咀湾煤矿,爬虫抓取(山西+陕西+安监局),陕西,
子长市丰源矿业有限公司,爬虫抓取(山西+陕西+安监局),陕西,
子长市扇咀湾煤矿,爬虫抓取(山西+陕西+安监局),陕西,
子长市禾草沟二号煤矿,爬虫抓取(山西+陕西+安监局),陕西,
宁夏岩业开拓建材有限公司,国家采矿登记系统,宁夏,
宁波市雄镇投资集团有限公司,国家采矿登记系统,浙江,
安康市瑜源矿业有限公司,爬虫抓取(山西+陕西+安监局),陕西,
安康市瑜源矿业有限公司汉滨区青林沟钒矿,手动搜集(各省政府公示),陕西,
安徽庆元矿业资源开发有限公司,国家采矿登记系统,安徽,
安徽恒源煤电股份有限公司,手动搜集(各省政府公示),安徽,
安徽白玉矿业有限公司,国家采矿登记系统,安徽,
安徽省亳州煤业有限公司信湖煤矿,手动搜集(各省政府公示),安徽,
定南县和顺枫树埂采石场,国家采矿登记系统,江西,
定南县锦发石料有限公司,国家采矿登记系统,江西,
宜兴阳羡湖君来酒店有限公司,国家采矿登记系统,江苏,
宜宾市南溪区天生页岩砖厂,国家采矿登记系统,四川,
宜宾市叙州区天正矿业有限责任公司,国家采矿登记系统,四川,
宣威市泽众新型墙体材料有限公司,国家采矿登记系统,云南,
宽城富海石料有限公司,国家采矿登记系统,河北,
宽城魁丰石料有限公司,国家采矿登记系统,河北,
宿松国泰公路矿业有限公司,国家采矿登记系统,安徽,
富宁县云龙黄金矿业有限责任公司那能金矿,手动搜集(各省政府公示),云南,
富民金锐水泥建材有限责任公司,国家采矿登记系统,云南,
富源县大坪煤业有限公司大坪煤矿一号井,手动搜集(各省政府公示),云南,
屏边垠鑫矿业有限公司,国家采矿登记系统,云南,
山东昌华机械科技有限公司,国家采矿登记系统,山东,
山东环球矿业有限公司,国家采矿登记系统,山东,出现在2个文件中
山东盼盼食品有限公司,国家采矿登记系统,山东,
山东能源集团,手动搜集(大型企业),,
山东鲁碧矿业有限公司小上峪石灰岩矿,手动搜集(各省政府公示),山东,
山东鲁科资源开发有限公司,国家采矿登记系统,山东,
山东黄金矿业(莱州)有限公司焦家金矿,手动搜集(各省政府公示),山东,
山东黄金矿业股份有限公司新城金矿,手动搜集(各省政府公示),山东,
山东黄金集团,手动搜集(大型企业),,
山丹县曹学英冶金用石英岩矿,国家采矿登记系统,甘肃,
山西中条山集团,爬虫抓取(山西+陕西+安监局),山西,
山西中条山集团胡家峪矿业有限公司和中国铝业股份有限公司,爬虫抓取(山西+陕西+安监局),山西,
山西介休义棠青云煤业有限公司与浙商银行股份有限公司,爬虫抓取(山西+陕西+安监局),山西,
山西华阳集团新能股份有限公司二矿,手动搜集(各省政府公示),山西,
山西寿阳潞阳祥升煤业有限公司,手动搜集(各省政府公示),山西,
山西平定古州东升阳胜煤业有限公司,手动搜集(各省政府公示),山西,
山西平遥县兴盛煤化有限责任公司,爬虫抓取(山西+陕西+安监局),山西,
山西忻州神达能源集团有限公司,手动搜集(各省政府公示),山西,
山西昔阳丰汇煤业有限责任公司,手动搜集(各省政府公示),山西,
山西水磨湾煤业有限公司,手动搜集(各省政府公示),山西,
山西潞安矿业集团慈林山煤业夏店煤矿,手动搜集(各省政府公示),山西,
山西焦煤集团,手动搜集(大型企业),,
山西省上党区山西长治县雄山煤炭有限公司,爬虫抓取(山西+陕西+安监局),山西,
山西省乡宁县大同煤矿,爬虫抓取(山西+陕西+安监局),山西,
山西省乡宁县大同煤矿集团,爬虫抓取(山西+陕西+安监局),山西,
山西省乡宁县大同煤矿集团临汾宏大隆博煤业有限公司,爬虫抓取(山西+陕西+安监局),山西,
山西省介休市山西介休鑫峪沟左则沟煤业有限公司,爬虫抓取(山西+陕西+安监局),山西,
山西省兴县山西兴县华润联盛峁底煤业有限公司,爬虫抓取(山西+陕西+安监局),山西,
山西省古县山西古县兰花宝欣煤业有限公司,爬虫抓取(山西+陕西+安监局),山西,
山西省宁武县山西忻州神达朝凯煤业有限公司,爬虫抓取(山西+陕西+安监局),山西,
山西省寿阳县阳泉煤业集团七元煤业有限责任公司,爬虫抓取(山西+陕西+安监局),山西,
山西省平陆县山西平陆大金禾金门煤业有限公司,爬虫抓取(山西+陕西+安监局),山西,
山西省柳林县山西宏盛安泰煤业有限公司,爬虫抓取(山西+陕西+安监局),山西,
山西省灵丘县山西宏伟矿业有限责任公司,爬虫抓取(山西+陕西+安监局),山西,
山西省灵丘县山西宏伟矿业有限责任公司西玄风铁矿,爬虫抓取(山西+陕西+安监局),山西,
山西省阳城县山西晋煤集团阳城晋圣诚南煤业有限公司,爬虫抓取(山西+陕西+安监局),山西,
山西蒲县宏源集团北峪煤业有限公司,手动搜集(各省政府公示),山西,
巴楚县塔提克布拉克萤石矿,手动搜集(各省政府公示),新疆,
平阳县交通投资集团矿业有限公司,国家采矿登记系统,浙江,
平阴县青龙山II矿区建筑石料用灰岩矿,手动搜集(各省政府公示),山东,
平顶山天安煤业九矿有限责任公司九矿,手动搜集(各省政府公示),河南,
庆阳华胜达化工助剂有限公司,国家采矿登记系统,甘肃,
庆阳高家山建材有限公司,国家采矿登记系统,甘肃,
府谷县三道沟乡常胜煤矿,爬虫抓取(山西+陕西+安监局),陕西,
府谷县东峰煤矿有限公司,手动搜集(各省政府公示); 爬虫抓取(山西+陕西+安监局),陕西,出现在2个文件中
府谷县新民镇沙沟岔煤矿,爬虫抓取(山西+陕西+安监局),陕西,
延安市宝塔区四咀煤炭有限责任公司,爬虫抓取(山西+陕西+安监局),陕西,
延安市禾草沟二号煤矿,爬虫抓取(山西+陕西+安监局),陕西,
延安市禾草沟二号煤矿有限公司,爬虫抓取(山西+陕西+安监局),陕西,
延安市车村煤矿有限公司,爬虫抓取(山西+陕西+安监局),陕西,
开江县鸿繁鑫矿业有限公司,国家采矿登记系统,四川,
开滦(集团)有限责任公司东欢坨矿业分公司,手动搜集(各省政府公示),河北,
开滦集团,手动搜集(大型企业),,
彬州李前建材有限公司,国家采矿登记系统,陕西,
徐州新田投资发展有限责任公司,国家采矿登记系统,江苏,
徐州矿务集团,手动搜集(大型企业),,
德清锦沣企业管理有限公司,国家采矿登记系统,浙江,
忻州神达能源集团,爬虫抓取(山西+陕西+安监局),山西,
惠东县梁化镇鸡笼山建筑用花岗岩矿,手动搜集(各省政府公示),广东,
惠州交投葛埔绿色现代石场龙华镇葛埔建筑用花岗岩矿,手动搜集(各省政府公示),广东,
成都远泓矿泉水有限公司云雾仙踪2号矿泉,手动搜集(各省政府公示),四川,
扇咀湾煤矿,爬虫抓取(山西+陕西+安监局),陕西,
承德县鑫银矿业有限公司,国家采矿登记系统,河北,
承德壹彤矿业有限责任公司,国家采矿登记系统,河北,
承德永和水泥有限责任公司,国家采矿登记系统,河北,
抚州东临新区共昇新型建材有限公司,国家采矿登记系统,江西,
抚顺矿业集团,手动搜集(大型企业),,
拜城恒通建材有限公司,国家采矿登记系统,新疆,
攀枝花煤业(集团)有限责任公司花山煤矿,手动搜集(各省政府公示),四川,
文山市永能建材经营有限责任公司,国家采矿登记系统,云南,
新平浩盛矿业发展有限公司新平县阿一糯铁矿,手动搜集(各省政府公示),云南,
新沂马陵山旅游发展有限公司,国家采矿登记系统,江苏,
新疆天池能源有限责任公司(将军戈壁二号露天煤矿),手动搜集(各省政府公示),新疆,
新疆恒河沙商贸有限公司,国家采矿登记系统,新疆,
新疆疆航供应链有限公司,国家采矿登记系统,新疆,
新疆运昇通高新技术发展有限公司青河县铁矿,手动搜集(各省政府公示),新疆,
新疆金能矿业有限公司奇台县黑山头露天煤矿,手动搜集(各省政府公示),新疆,
新疆阜清环境技术有限公司,国家采矿登记系统,新疆,
新疆韶颂商贸有限公司,国家采矿登记系统,新疆,
旺苍县湘板河建耀石材有限公司,国家采矿登记系统,四川,
昆明嘉特裕商贸有限公司景谷县训岗铜矿,手动搜集(各省政府公示),云南,
昆明正得矿业有限公司宜良浮占村磷矿,手动搜集(各省政府公示),云南,
昭通津闽矿业有限责任公司,国家采矿登记系统,云南,
晋能控股山西煤业股份有限公司,手动搜集(各省政府公示),山西,
晋能控股煤业集团有限公司,手动搜集(各省政府公示),山西,
晋能控股集团,手动搜集(大型企业),,
景东立华腾矿业有限公司景东县塔罗山铜矿,手动搜集(各省政府公示),云南,
景泰县红泉石膏矿,国家采矿登记系统,甘肃,
景泰县融和矿业有限公司,国家采矿登记系统,甘肃,
景洪市基龙矿业有限责任公司,国家采矿登记系统,云南,
景洪市秀福建材有限公司,国家采矿登记系统,云南,
朝阳金华园旅游观光示范园管理有限公司,国家采矿登记系统,辽宁,
木垒县宇恒建筑材料有限公司,国家采矿登记系统,新疆,
本溪市大正矿业有限公司,国家采矿登记系统,辽宁,
本溪昱溪矿山工程有限公司,国家采矿登记系统,辽宁,
本溪满族自治县福鹏兴矿业有限公司,国家采矿登记系统,辽宁,
本溪满族自治县鑫强矿业有限公司,国家采矿登记系统,辽宁,
林甸县九州温泉地热开发有限责任公司,国家采矿登记系统,黑龙江,出现在9个文件中
枣庄交通发展集团翠屏山矿业有限公司,国家采矿登记系统,山东,
栾川县康瑞有限责任公司杨树沟铅矿,手动搜集(各省政府公示),河南,
榆林市常乐堡矿业有限公司,爬虫抓取(山西+陕西+安监局),陕西,
榆林市榆阳区金牛矿业发展有限公司,爬虫抓取(山西+陕西+安监局),陕西,
榆林建能新型材料有限公司,国家采矿登记系统,陕西,
榆林榆神能源有限责任公司,爬虫抓取(山西+陕西+安监局),陕西,
榆林榆神能源有限责任公司横沟煤矿,爬虫抓取(山西+陕西+安监局),陕西,
横山县殿市镇水坝滩煤矿横山区殿市镇水坝滩煤矿,爬虫抓取(山西+陕西+安监局),陕西,
武威松树新型建材有限公司,国家采矿登记系统,甘肃,
水城县盛丰营砂石发展有限公司,国家采矿登记系统,贵州,
水城县金翔砂石厂,国家采矿登记系统,贵州,
水城县鑫宏泰砂石有限公司,国家采矿登记系统,贵州,
水城县银锋砂石厂,国家采矿登记系统,贵州,
水城县顺和利砂石厂,国家采矿登记系统,贵州,
永平浩和矿业有限公司老鹰坡铜矿,手动搜集(各省政府公示),云南,
江苏弘昌矿业有限公司,国家采矿登记系统,江苏,
江西中利诚建材有限公司,国家采矿登记系统,江西,
江西铜业集团,手动搜集(大型企业),,
沂水县孟母石料有限公司,国家采矿登记系统,山东,
沙湾市新坤砖厂(个人独资),国家采矿登记系统,新疆,
河北业添矿业有限责任公司,国家采矿登记系统,河北,
河南地方煤炭集团西村永发煤业有限公司,手动搜集(各省政府公示),河南,
河南能源集团,手动搜集(大型企业),,
河南能源集团有限公司,手动搜集(各省政府公示),河南,
河口坝洒农场有限责任公司,国家采矿登记系统,云南,
泰顺县和昌石材有限公司,国家采矿登记系统,浙江,
