企业名称,省份,矿种,来源,联系电话,官网,地址
万载万狮矿业有限公司,江西,砖瓦用页岩,国家采矿登记系统,,,
上栗县鸿志石材工艺有限公司,江西,建筑用砂岩,国家采矿登记系统,,,
东方建都国际酒店管理有限公司,海南,地热,国家采矿登记系统,,,
中国平煤神马集团,河南,,手动采集-政府公示,,,
中国建设银行股份有限公司,山西,未知,爬虫抓取,,,
中国铝业股份有限公司,山西,铝土矿,爬虫抓取,,,
中条山有色金属集团有限公司,山西,,手动采集-政府公示,,,
中煤新集阜阳矿业有限公司,安徽,,手动采集-政府公示,,,
中盐舞阳盐化有限公司黄庄盐矿,河南,,手动采集-政府公示,,,
丰都县绿圣鑫石材有限公司,重庆,砂岩,国家采矿登记系统,,,
丰都县联盛石材工艺有限公司,重庆,建筑用砂岩,国家采矿登记系统,,,
临沂石宝矿业有限公司,山东,建筑用闪长岩,国家采矿登记系统,,,
临沭县兴大矿业有限公司,山东,建筑用安山岩,国家采矿登记系统,,,
丽江孜堆砂石料有限公司,云南,建筑石料用灰岩,国家采矿登记系统,,,
乾县新阳鑫诺建材有限公司,陕西,砖瓦用粘土,国家采矿登记系统,,,
云南三明鑫疆磷业股份有限公司安宁市权甫磷矿,云南,,手动采集-政府公示,,,
云南交投丽江资源开发有限公司,云南,建筑石料用灰岩,国家采矿登记系统,,,
云南思茅山水铜业有限公司银子山金矿,云南,,手动采集-政府公示,,,
五台县三吉铁矿有限责任公司,山西,,手动采集-政府公示,,,
仁寿县百汇金矿业有限公司,四川,建筑石料用灰岩,国家采矿登记系统,,,
仁寿晟盛矿石有限责任公司,四川,建筑石料用灰岩,国家采矿登记系统,,,
伽师县源江建材有限公司,新疆,建筑用砂,国家采矿登记系统,,,
伽师县金裕商贸有限责任公司,新疆,建筑用砂,国家采矿登记系统,,,
保亭源泽水业开发有限公司,海南,地热,国家采矿登记系统,,,
克州源顺进建材有限公司,新疆,建筑用砂,国家采矿登记系统,,,
克州顺创新型建材有限公司,新疆,建筑用砂,国家采矿登记系统,,,
克拉玛依市城投碎石开采有限责任公司,新疆,建筑用石料(凝灰岩),国家采矿登记系统,,,
六安市金安区城乡建设投资有限公司,安徽,地热,国家采矿登记系统,,,
六枝特区兴旺砂石厂,贵州,建筑石料用灰岩,国家采矿登记系统,,,
六枝特区合顺砂石厂,贵州,建筑石料用灰岩,国家采矿登记系统,,,
六枝特区野狼冲砂石厂,贵州,建筑石料用灰岩,国家采矿登记系统,,,
六枝特区马甲岩砂石厂,贵州,建筑用白云岩,国家采矿登记系统,,,
六盘水兴黔工贸有限公司,贵州,石灰岩,国家采矿登记系统,,,
六盘水水城区顺宏安安平煤业,贵州,,手动采集-政府公示,,,
六盘水通合矿业有限公司,贵州,锌矿,国家采矿登记系统,,,
兴文县山磊石材有限责任公司,四川,建筑石料用灰岩,国家采矿登记系统,,,
兴隆县峪鑫矿业有限公司,河北,熔剂用石灰岩,国家采矿登记系统,,,
冀中能源集团有限责任公司,河北,,手动采集-政府公示,,,
内蒙古山金比利亚矿业有限责任公司,内蒙古,锌矿,国家采矿登记系统,,,
凤县尖端山矿业有限责任公司,陕西,未知,爬虫抓取,,,
凤县尖端山矿业有限责任公司尖端山铅锌矿,陕西,铅锌矿,爬虫抓取,,,
凯里市丰华贸易有限公司,贵州,重晶石,国家采矿登记系统,,,
办理山西介休义棠青云煤业有限公司,山西,煤炭,爬虫抓取,,,
勐腊县辉洪商贸有限责任公司,云南,建筑石料用灰岩,国家采矿登记系统,,,
包头市鑫源鄂博矿业有限公司,内蒙古,石英岩,国家采矿登记系统,,,
化州市那务镇水明石场,广东,,手动采集-政府公示,,,
