许可证号,采矿权人,矿山名称,项目类型,开采主矿种,开采方式,设计生产规模,面积_km2,有效期,发证机关,公告日期,省份
DC6210212026037100000001,庆阳华胜达化工助剂有限公司,庆城县太白梁乡巴山村黑河大峡谷建筑用砂矿,变更登记,建筑用砂,,,0.06420,2026.03.29至2031.03.29,庆城县自然资源局,2026.04.20,甘肃
DC5200002015063110138768,六盘水通合矿业有限公司,贵州省水城县西拉堡--六枝特区银硐铅锌矿,变更登记,锌矿,,,4.65810,2024.09.29至2034.09.28,六盘水市自然资源局,2026.03.26,贵州
DC1308002010126120086977,兴隆县峪鑫矿业有限公司,兴隆县峪鑫矿业有限公司大西峪熔剂用石灰岩矿,变更登记,熔剂用石灰岩,,,0.80070,2021.01.29至2026.01.29,承德市自然资源和规划局,2026.03.09,河北
DC3415002026041100000001,六安市金安区城乡建设投资有限公司,安徽省六安市皖西大裂谷ZK04孔地热资源,首次登记,地热,,,0.07900,2026.04.02至2036.04.01,六安市,2026.04.02,安徽
DC5115282021057150151985,兴文县山磊石材有限责任公司,兴文县山磊石材有限责任公司枇杷沟采石场,换证,建筑石料用灰岩,,,0.24300,2021.05.27至2031.05.27,四川省宜宾市兴文县,2026.03.11,四川
DC3200002015111110140413,新沂马陵山旅游发展有限公司,新沂马陵山旅游发展有限公司地热井,变更登记,地热,,,0.16000,2025.11.13至2035.11.12,江苏省自然资源厅,2026.04.08,江苏
DC5100002010126120088423,四川省洪雅青衣江元明粉有限公司,四川省洪雅青衣江元明粉有限公司马河山钙芒硝矿,换证,芒硝含钙芒硝,,,2.93670,2023.04.26至2028.04.26,四川省眉山市,2026.04.08,四川
DC6207242026047100000001,甘肃金砾源建材有限责任公司,甘肃省高台县红山子建筑用石料矿,首次登记,建筑用砂岩,,,0.11060,2026.04.14至2026.04.14,高台县自然资源局,2026.04.15,甘肃
DC2306002026031120000018,林甸县九州温泉地热开发有限责任公司,黑龙江省林甸县林深热1井,首次登记,地热,,,0.99980,2026.03.10至2031.03.10,大庆市,2026.03.09,黑龙江
DC5325232026037100000001,屏边垠鑫矿业有限公司,屏边垠鑫矿业有限公司马达坎建筑石料用灰岩矿,首次登记,建筑石料用灰岩,,,0.18080,2026.03.30至2032.09.30,屏边县自然资源局,2026.03.30,云南
DC5108222026037150000002,青川县胖达矿业有限公司,四川省青川县黄家湾玻璃用砂岩矿,首次登记,玻璃用砂岩,,,0.29380,2026.03.23至2037.03.23,青川县自然资源局,2026.03.23,四川
DC6209222026037100000002,瓜州力合矿业有限公司,瓜州县长梁山建筑用大理岩矿,首次登记,建筑用大理岩,,,0.98630,2026.03.26至2031.03.26,瓜州县自然资源局,2026.03.26,甘肃
DC2306002026031120000010,林甸县九州温泉地热开发有限责任公司,黑龙江省林甸县林热12井,首次登记,地热,,,0.99980,2026.03.10至2031.03.10,大庆市,2026.03.09,黑龙江
DC5301242019017130147377,富民金锐水泥建材有限责任公司,富民金锐水泥建材有限责任公司砂锅村后山石灰岩矿,变更登记,石灰岩,,,0.28690,2026.03.12至2032.03.11,昆明市自然资源和规划局,2026.03.13,云南
DC3607282010127130085657,定南县锦发石料有限公司,定南县鹅公镇大茶园采石场,变更登记,建筑用花岗岩,,,0.17870,2026.03.31至2036.03.30,定南县自然资源局,2026.04.02,江西
DC3200002010038120058295,连云港圣王矿泉水有限公司,连云港圣王矿泉水有限公司,变更登记,矿泉水,,,0.14430,2025.12.29至2035.12.28,江苏省自然资源厅,2026.04.08,江苏
DC2105002025077110158634,本溪市大正矿业有限公司,本溪市大正矿业有限公司玻璃用石英岩矿,变更登记,玻璃用石英岩,,,2.03250,2026.03.31至2055.07.09,本溪市,2026.04.07,辽宁
DC6207002010126130133708,山丹县曹学英冶金用石英岩矿,山丹县曹学英冶金用石英岩矿,变更登记,冶金用石英岩,,,0.02530,2026.04.09至2031.04.08,张掖市自然资源局,2026.04.09,甘肃
DC5114232018107100146854,洪雅县恒坤建材有限公司,洪雅县恒坤建材有限公司青石沟灰岩矿,换证,建筑石料用灰岩,,,0.07140,2023.12.04至2028.10.11,四川省眉山市,2026.04.21,四川
