许可证号,采矿权人,矿山名称,项目类型,开采主矿种,开采方式,生产规模,面积_km2,有效期,发证机关,公告日期,省份
DC6502002010047120061025,克拉玛依市城投碎石开采有限责任公司,克拉玛依市城投碎石开采有限责任公司,变更登记,建筑用石料(凝灰岩),null,nullnull,0.42890,2026-01-19至2026-11-18,克拉玛依市自然资源局,2026-05-06,
DC6529262023027100154783,拜城恒通建材有限公司,拜城县金晖西砂石料集中开采区3号矿区建筑用砂矿,变更登记,建筑用砂,null,nullnull,0.18000,2026-02-25至2028-04-25,拜城县自然资源局,2026-05-06,
DC6104242026057100000001,乾县新阳鑫诺建材有限公司,乾县新阳镇沟阳村砖瓦用粘土矿,首次登记,砖瓦用粘土,null,nullnull,0.05080,2026-03-23至2029-03-23,乾县自然资源局,2026-05-06,
DC2113002021041110151727,朝阳金华园旅游观光示范园管理有限公司,朝阳金华园旅游观光示范园管理有限公司,变更登记,地热,null,nullnull,0.23690,2026-04-06至2036-04-05,朝阳市,2026-05-06,
DC4690072026041200000002,东方建都国际酒店管理有限公司,东方建都国际酒店管理有限公司开发项目（东方希尔顿欢朋酒店）地热水,首次登记,地热,null,nullnull,0.00090,2026-04-23至2031-04-22,自然资源部信息中心,2026-04-30,
DC1507002015077130139024,满洲里市宏大采石场,满洲里市扎区宏大采石场,变更登记,建筑用花岗岩,null,nullnull,0.06310,2026-04-17至2027-04-16,扎赉诺尔区自然资源局,2026-04-30,
DC1529002016057130141932,阿拉善盟蒙雪矿业有限责任公司,阿拉善左旗巴润别立镇巴音朝格图地区建筑石料用石灰岩矿,变更登记,建筑石料用灰岩,null,nullnull,0.09240,2026-05-11至2028-05-10,阿拉善左旗自然资源局,2026-04-29,
DC3610022022077100153842,抚州东临新区共昇新型建材有限公司,东临新区沙溪黄家砖瓦用泥质粉砂岩矿,变更登记,砖瓦用砂岩,null,nullnull,0.30790,2022-07-05至2035-10-05,抚州市自然资源局临川分局,2026-04-29,
DC5328012026047100000001,景洪市基龙矿业有限责任公司,景洪市基诺山亚龙建筑石料用灰岩矿,首次登记,建筑石料用灰岩,null,nullnull,0.28490,2026-04-29至2040-04-29,景洪市自然资源局,2026-04-29,
DC1507002026043200000001,额尔古纳市鑫易矿业开发有限公司,额尔古纳市鑫易矿业开发有限公司额尔古纳市黑山头地区铅银矿,首次登记,铅矿,null,nullnull,3.25840,2026-04-29至2033-04-28,呼伦贝尔市自然资源局,2026-04-29,
